class_source,type_source,subclass_id
lassopeptide,as4,2
nrps,as4,3
acyl_amino_acids,as4,4
arylpolyene,as4,5
cf_fatty_acid,as4,6
other,as4,7
otherks,as4,8
ppysks,as4,9
t1pks,as4,10
t2pks,as4,11
t3pks,as4,12
transatpks,as4,13
cf_saccharide,as4,14
oligosaccharide,as4,15
terpene,as4,16
amglyccycl,as4,17
aminocoumarin,as4,18
bacteriocin,as4,19
blactam,as4,20
bottromycin,as4,21
butyrolactone,as4,22
cyanobactin,as4,23
ectoine,as4,24
furan,as4,25
fused,as4,26
glycocin,as4,27
head_to_tail,as4,28
hserlactone,as4,29
indole,as4,30
ladderane,as4,31
lantipeptide,as4,32
LAP,as4,33
linaridin,as4,34
melanin,as4,35
microcin,as4,36
microviridin,as4,37
nucleoside,as4,38
pbde,as4,39
phenazine,as4,40
phosphoglycolipid,as4,41
phosphonate,as4,42
proteusin,as4,43
PUFA,as4,44
resorcinol,as4,45
sactipeptide,as4,46
siderophore,as4,47
thiopeptide,as4,48
lassopeptide,as5,49
NRPS,as5,50
NRPS-like,as5,51
thioamide-NRP,as5,52
arylpolyene,as5,53
fatty_acid,as5,54
other,as5,55
resorcinol,as5,56
hglE-KS,as5,57
PKS-like,as5,58
T1PKS,as5,59
T2PKS,as5,60
T3PKS,as5,61
transAT-PKS,as5,62
transAT-PKS-like,as5,63
fungal-RiPP,as5,64
RaS-RiPP,as5,65
oligosaccharide,as5,66
saccharide,as5,67
terpene,as5,68
acyl_amino_acids,as5,69
amglyccycl,as5,70
aminocoumarin,as5,71
bacteriocin,as5,72
betalactone,as5,73
blactam,as5,74
bottromycin,as5,75
butyrolactone,as5,76
CDPS,as5,77
cyanobactin,as5,78
ectoine,as5,79
furan,as5,80
fused,as5,81
glycocin,as5,82
halogenated,as5,83
head_to_tail,as5,84
hserlactone,as5,85
indole,as5,86
ladderane,as5,87
lanthipeptide,as5,88
LAP,as5,89
linaridin,as5,90
lipolanthine,as5,91
melanin,as5,92
microviridin,as5,93
NAGGN,as5,94
nucleoside,as5,95
PBDE,as5,96
phenazine,as5,97
phosphoglycolipid,as5,98
phosphonate,as5,99
PpyS-KS,as5,100
proteusin,as5,101
PUFA,as5,102
sactipeptide,as5,103
siderophore,as5,104
TfuA-related,as5,105
thiopeptide,as5,106
tropodithietic-acid,as5,107
Alkaloid,mibig,108
NRP,mibig,109
Other,mibig,110
Polyketide,mibig,111
RiPP,mibig,112
Saccharide,mibig,113
Terpene,mibig,114
alkaloid,plant,115
lignan,plant,116
plant,plant,117
polyketide,plant,118
saccharide,plant,119
sesterterpene,plant,120
terpene,plant,121
cyclopeptide,plant,122
